pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id_1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
FF,2017-06-13,95,1.82,6.5237,David Peralta,444482,458677,home_run,hit_into_play_score,NA,NA,NA,NA,4,David Peralta homers (6) on a line drive to left center field.,R,L,L,DET,ARI,X,NA,line_drive,0,0,2017,0.6811,1.8144,-0.6284,2.5624,NA,NA,NA,0,9,Top,58.71,38.13,NA,NA,488671,NA,170614_023201,-7.7244,-137.3037,-8.3448,10.2291,34.1227,-8.2515,3.3657,1.4472,379,102.5,24.069,92.68,2345,5.557,491060,458677,488671,408234,435079,592206,578428,457708,502100,502110,54.9413,0.893,1.633,2,1,0,3,6,74,1,4-Seam Fastball,6,6,6,6,6,6,6,6,Standard,Standard,1
FF,2017-06-13,96.2,-1.8948,6.0371,Jose Martinez,500874,491703,home_run,hit_into_play_score,NA,NA,NA,NA,4,Jose Martinez homers (3) on a fly ball to left center field.,R,R,R,STL,MIL,X,NA,fly_ball,3,2,2017,-1.1278,1.4933,-0.8238,2.8405,NA,NA,NA,1,8,Bot,66.38,23.16,NA,NA,542908,NA,170613_210125,5.3457,-139.6524,-6.1925,-15.8812,31.7822,-11.5724,3.8903,1.6699,436,106.5,23.23,95.784,2431,6.191,490508,491703,542908,519346,519299,543768,606115,541650,621446,570267,54.3034,0.988,1.89,2,1,0,3,6,66,7,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,1
CH,2017-06-13,78.8,4.594,4.2197,Corey Dickerson,572816,571901,home_run,hit_into_play_score,NA,NA,NA,NA,2,Corey Dickerson homers (15) on a fly ball to right center field.,R,L,L,TOR,TB,X,NA,fly_ball,0,0,2017,1.5432,0.1644,-0.0523,2.7923,NA,NA,NA,0,9,Top,180.13,31.28,NA,NA,431145,NA,170614_021053,-12.7919,-113.7847,3.4749,15.6718,20.9824,-31.6212,3.2849,1.3656,419,105,30.545,78.01,2014,6.168,491073,571901,431145,475253,572365,518626,453064,485567,607680,430832,54.3346,0.884,1.815,2,1,0,3,6,73,1,Changeup,1,7,7,1,7,1,7,1,Standard,Standard,1
SL,2017-06-13,84.6,1.3752,6.0074,Cody Bellinger,641355,457429,home_run,hit_into_play_score,NA,NA,NA,NA,5,Cody Bellinger homers (17) on a line drive to right field.    Corey Seager scores.    Justin Turner scores.,R,L,L,CLE,LAD,X,NA,line_drive,0,1,2017,-0.2714,0.1979,0.0935,2.6487,NA,608369,457759,0,9,Top,225.29,56.19,NA,NA,547379,NA,170614_020458,-2.4225,-123.029,-1.9294,-2.2737,20.5253,-30.1306,3.7859,1.4772,421,109.5,23.364,83.414,2525,5.182,491067,457429,547379,467793,543401,608070,596019,488726,457706,543706,55.3184,0.988,1.918,2,1,0,3,6,71,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard,1
CH,2017-06-13,82.2,-1.4688,6.219,Eddie Rosario,592696,434563,home_run,hit_into_play_score,NA,NA,NA,NA,12,Eddie Rosario homers (8) on a fly ball to right center field.,R,L,R,MIN,SEA,X,NA,fly_ball,1,1,2017,-0.6205,1.8525,0.2224,3.4882,NA,NA,NA,0,8,Bot,189.16,37.79,NA,NA,572287,NA,170614_025602,4.8268,-119.1464,-2.9444,-6.5585,22.5288,-15.0434,2.9994,1.2915,440,102.3,30.167,80.044,3643,4.976,491072,434563,572287,502143,429664,572122,600301,592325,502481,571745,55.5212,0.8,1.614,2,1,0,3,6,82,3,Changeup,19,6,19,6,6,19,19,6,Infield shift,Standard,1
FT,2017-06-13,93.3,-1.5894,6.0794,Kris Bryant,592178,519166,home_run,hit_into_play_score,NA,NA,NA,NA,11,Kris Bryant homers (15) on a fly ball to left field.,R,R,R,NYM,CHC,X,NA,fly_ball,0,2,2017,-0.7212,1.5797,-1.1232,3.2145,NA,NA,NA,2,7,Top,30.17,91.13,NA,NA,518595,NA,170614_013005,2.7989,-135.6468,-5.1059,-9.5733,29.7958,-11.6356,3.2578,1.4552,339,93.9,41.665,93.637,2366,6.539,491063,519166,518595,446263,435522,527038,408314,434158,501571,457803,53.9609,0.022,0.027,2,1,0,3,3,61,3,2-Seam Fastball,1,11,11,1,11,1,11,1,Standard,Standard,0
FT,2017-06-13,89.8,-1.1584,6.3488,Rougned Odor,596059,502381,home_run,hit_into_play_score,NA,NA,NA,NA,1,Rougned Odor homers (11) on a fly ball to left center field.   Jonathan Lucroy scores.,R,L,R,HOU,TEX,X,NA,fly_ball,2,0,2017,-0.8388,-0.059,-0.4575,2.442,NA,NA,518960,2,8,Top,38.33,81.11,NA,NA,435263,NA,170614_023855,3.3816,-130.6157,-3.6132,-10.0107,23.2067,-32.4145,2.885,1.1268,346,96,29.437,88.977,2362,5.446,491074,502381,435263,493329,514888,608324,621043,503556,543807,493114,55.0553,0.361,0.609,2,1,0,3,5,61,3,2-Seam Fastball,2,2,2,2,2,2,2,2,Infield shift,Strategic,0
FT,2017-06-13,94.8,-2.7628,5.9889,Andrew McCutchen,457705,543475,home_run,hit_into_play_score,NA,NA,NA,NA,11,Andrew McCutchen homers (11) on a fly ball to left field.   Josh Bell scores.,R,R,R,PIT,COL,X,NA,fly_ball,3,0,2017,-1.2428,1.2016,-0.9057,2.496,NA,NA,605137,2,8,Bot,6.94,81.82,NA,NA,547172,NA,170614_013552,7.6931,-137.8105,-6.255,-17.666,27.177,-15.5016,3.385,1.4554,391,96.2,28.791,95.814,2312,6.673,491065,543475,547172,448602,518934,571448,596115,435622,453568,471865,53.8278,0.361,0.609,2,1,0,3,5,63,4,2-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,0
SL,2017-06-13,83,2.1777,5.2019,Cody Bellinger,641355,453192,home_run,hit_into_play_score,NA,NA,NA,NA,5,Cody Bellinger homers (16) on a fly ball to right center field.,R,L,L,CLE,LAD,X,NA,fly_ball,2,1,2017,-1.0542,-0.3521,-0.0025,2.4342,NA,NA,NA,0,8,Top,185.09,41.86,NA,NA,547379,NA,170614_013308,-2.9409,-120.923,0.7638,-9.9259,21.8131,-35.995,3.7606,1.452,396,107.1,35.754,83.69,2666,6.508,491067,453192,547379,467793,543401,608070,596019,488726,457706,543706,53.9924,0.777,1.582,2,1,0,3,6,59,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,1
FF,2017-06-13,90.5,-0.7688,6.1878,Eric Young Jr.,458913,461325,home_run,hit_into_play_score,NA,NA,NA,NA,6,Eric Young Jr.   homers (3) on a fly ball to right field.,R,L,R,LAA,NYY,X,NA,fly_ball,0,1,2017,-0.3991,1.6288,0.4669,2.5499,NA,NA,NA,0,8,Bot,212.53,81.49,NA,NA,596142,NA,170614_043911,3.9029,-131.4633,-6.5524,-5.3952,26.4941,-12.2573,3.2448,1.3874,389,97,26.282,90.194,2344,6.127,491069,461325,596142,474892,516770,452104,544369,458731,543305,592450,54.4156,0.447,0.727,2,1,0,3,5,61,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,0
